Emotion,Telugu_Word,Template 1,Template 2,Template 3,Template 4,Template 5,Template 6,Template 7
Sadness,వేదన,వేదనభరితమైన,వేదనతో కూడిన,వేదనగా,వేదన,వేదనగా,వేదన,వేదన
Sadness,నిరాశ,నిరాశాజనకమైన,నిరాశభరితమైన,నిరాశగా,నిరాశ,నిరాశగా,నిరాశ,నిరాశ
Sadness,కలత,కలవరమైన,కలతతో కూడిన,కలతగా,కలత,కలతగా,కలత,కలత
Sadness,కృంగుట,కృంగిపించే,కృంగిన,కృంగుగా,కృంగిన భావం,కృంగుగా,కృంగిన భావం,కృంగిన భావం
Sadness,శోకం,క్షోభితమైన,శోకభరితమైన,శోకంగా,శోకాన్ని,శోకంగా,శోకాన్ని,శోకాన్ని
Sadness,దురదృష్టం,దురదృష్టకరమైన,దురదృష్టకరమైన,దురదృష్టంగా,దురదృష్టం,దురదృష్టంగా,దురదృష్టం,దురదృష్టం
Sadness,చింత,చింతాజనకమైన,చింతాజనకమైన,చింతగా,చింత,చింతగా,చింత,చింత
Sadness,విచారం,విచారభరితమైన,విచారభరితమైన,విచారంగా,విచారం,విచారంగా,విచారం,విచారం
Anger,కోపం,కోపభరితమైన,కోప,కోపంగా,కోపం,కోపంగా,కోపం,కోపం
Anger,అగ్రహం,అగ్రహభరితమైన,అగ్రహభరితమైన,అగ్రహంగా,అగ్రహం,అగ్రహంగా,అగ్రహం,అగ్రహం
Anger,రోషం,రోషభరితమైన,రోషభరితమైన,రోషంగా,రోషం,రోషంగా,రోషం,రోషం
Anger,క్రోధం,క్రోధపూరితమైన,క్రోధపూరితమైన,క్రోధంగా,క్రోధం,క్రోధంగా,క్రోధం,క్రోధం
Anger,అసహనం,అసహనకరమైన,అసహనకరమైన,అసహనంగా,అసహనం,అసహనంగా,అసహనం,అసహనం
Anger,ఆవేశం,ఆవేశభరితమైన,ఆవేశభరితమైన,ఆవేశంగా,ఆవేశం,ఆవేశంగా,ఆవేశం,ఆవేశం
Anger, ఉద్రేకం,ఉద్రేకభరితమైన,ఉద్రేకంతో కూడిన,ఉద్రేకంగా,ఉద్రేకం,ఉద్రేకంగా,ఉద్రేకం,ఉద్రేకం
Anger,మండిపాటు,మండిపాటు కలిగించే,మండిపాటు,మండిపాటుగా,మండిపాటు,మండిపాటుగా,మండిపాటు,మండిపాటు
Anger,విసుగు,విసుగు కలిగించిన,విసుగు,విసుగ్గా,విసుగు,విసుగ్గా,విసుగు,విసుగు
Anger,సంకోపము,సంకోపాన్ని కలిగించిన,సంకోప,సంకోపంగా,సంకోపం,సంకోపంగా,సంకోపం,సంకోపం
Fear,భయం,భయానకమైన,భయభరితమైన,భయంగా,భయం,భయంగా,భయం,భయం
Fear,దడుసు,దడుసైన,దడుసుతో కూడిన,దడుసుగా,దడుసు,దడుసుగా,దడుసు,దడుసు
Fear,అందోళన,అందోళనభరితమైన,అందోళనకరమైన,అందోళనగా,అందోళన,అందోళనగా,అందోళన,అందోళన
Fear,భీతి,భీతికరమైన,భీతికరమైన,భీతిగా,భీతి,భీతిగా,భీతి,భీతి
Fear,బెదురు ,బెదిరించే,బెదిరిన,బెదిరించినట్టుగా,బెదురు,బెదిరినట్టుగా,బెదురు,బెదురు
Fear,వణుకు,వణుకించే,వణుకుతో ఉన్న,వణుకుగా,వణుకు,వణుకుగా,వణుకు,వణుకు
Fear,చకితము ,చకితమైన,చకితమైన,చకితంగా,చకితాన్ని,చకితంగా,చకితాన్ని,చకితాన్ని
Fear,ఉలికిపాటు ,ఉలికిపాటు కలిగించే,ఉలికిపాటు కలిగిన,ఉలికిపాటుగా,ఉలికిపాటు,ఉలికిపాటుగా,ఉలికిపాటు,ఉలికిపాటు
Fear,జంకు,జంకు కలిగించే,జంకు,జంకుగా,జంకును,జంకుగా,జంకును,జంకును
Fear,హడలు,హడలయ్యే,హడల,హడలిగా,హడలి,హడలిగా,హడలి,హడలి
